date,pm25,latitude,longitude,pm25_aqi
8/15/2016,21.13,9.05806,38.76306,70
8/16/2016,27.79,9.05806,38.76306,84
8/17/2016,34.44,9.05806,38.76306,98
8/18/2016,37.93,9.05806,38.76306,107
8/19/2016,41.99,9.05806,38.76306,117
8/20/2016,18.75,9.05806,38.76306,65
8/22/2016,37.93,9.05806,38.76306,107
8/23/2016,38.74,9.05806,38.76306,109
8/24/2016,35.5,9.05806,38.76306,101
8/25/2016,38.74,9.05806,38.76306,109
8/26/2016,25.88,9.05806,38.76306,80
8/27/2016,33.02,9.05806,38.76306,95
8/28/2016,39.15,9.05806,38.76306,110
8/29/2016,30.16,9.05806,38.76306,89
8/30/2016,34.92,9.05806,38.76306,99
8/31/2016,25.88,9.05806,38.76306,80
9/1/2016,42.81,9.05806,38.76306,119
9/2/2016,41.18,9.05806,38.76306,115
9/3/2016,39.96,9.05806,38.76306,112
9/4/2016,22.08,9.05806,38.76306,72
9/5/2016,19.7,9.05806,38.76306,67
9/6/2016,25.88,9.05806,38.76306,80
9/7/2016,27.79,9.05806,38.76306,84
9/8/2016,35.9,9.05806,38.76306,102
9/9/2016,27.31,9.05806,38.76306,83
9/10/2016,35.4,9.05806,38.76306,100
9/11/2016,35.9,9.05806,38.76306,102
9/12/2016,24.46,9.05806,38.76306,77
9/13/2016,33.02,9.05806,38.76306,95
9/14/2016,39.96,9.05806,38.76306,112
9/15/2016,19.7,9.05806,38.76306,67
9/16/2016,22.56,9.05806,38.76306,73
9/17/2016,21.13,9.05806,38.76306,70
9/18/2016,30.64,9.05806,38.76306,90
9/19/2016,31.12,9.05806,38.76306,91
9/20/2016,33.97,9.05806,38.76306,97
9/21/2016,32.07,9.05806,38.76306,93
9/22/2016,25.88,9.05806,38.76306,80
9/23/2016,34.44,9.05806,38.76306,98
9/24/2016,41.18,9.05806,38.76306,115
9/25/2016,47.27,9.05806,38.76306,130
9/26/2016,40.77,9.05806,38.76306,114
9/27/2016,28.74,9.05806,38.76306,86
9/28/2016,18.28,9.05806,38.76306,64
9/29/2016,23.03,9.05806,38.76306,74
9/30/2016,35.9,9.05806,38.76306,102
10/1/2016,23.03,9.05806,38.76306,74
10/2/2016,20.18,9.05806,38.76306,68
